"SYMBOL 
"
HINDALCO
ICICIBANK
BHARTIARTL
SHRIRAMFIN
ONGC
BEL
NESTLEIND
ITC
SUNPHARMA
BAJAJ-AUTO
COALINDIA
DRREDDY
RELIANCE
TATASTEEL
JSWSTEEL
HCLTECH
TRENT
ASIANPAINT
M&M
INFY
POWERGRID
LT
TCS
INDIGO
SBILIFE
WIPRO
BAJFINANCE
ETERNAL
TMPV
TATACONSUM
EICHERMOT
TECHM
GRASIM
MARUTI
BAJAJFINSV
NTPC
SBIN
JIOFIN
HDFCLIFE
HDFCBANK
AXISBANK
TITAN
KOTAKBANK
ADANIENT
APOLLOHOSP
ADANIPORTS
ULTRACEMCO
MAXHEALTH
HINDUNILVR
CIPLA
